_P_ Pl All	P pos pl all	l+oma|ise		
_P_ Sg Ade	P pos sg ad	l+oma|ise		
_P_ Pl Ade	P pos pl ad	l+oma|ise		
_P_ Sg Abl	P pos sg abl	l+oma|ise		
_P_ Pl Abl	P pos pl abl	l+oma|ise		
_P_ Sg Tra	P pos sg tr	l+oma|ise		
_P_ Pl Tra	P pos pl tr	l+oma|ise		
_P_ Sg Trm	P pos sg term	l+oma|ise		
_P_ Pl Trm	P pos pl term	l+oma|ise		
_P_ Sg Ess	P pos sg es	l+oma|ise		
_P_ Pl Ess	P pos pl es	l+oma|ise		
_P_ Sg Abe	P pos sg abes	l+oma|ise		
_P_ Pl Abe	P pos pl abes	l+oma|ise		
_P_ Sg Com	P pos sg kom	l+oma|ise		
_P_ Pl Com	P pos pl kom	l+oma|ise		

_P_ Sg Nom	P PLIIK sg nom			
_P_ Pl Nom	P PLIIK pl nom			
_P_ Sg Gen	P PLIIK sg gen			
_P_ Pl Gen	P PLIIK pl gen			
_P_ Sg Par	P PLIIK sg part			
_P_ Pl Par	P PLIIK pl part			
_P_ Sg Ill	P PLIIK sg ill			
_P_ Pl Ill	P PLIIK pl ill			
_P_ Sg Ine	P PLIIK sg in			
_P_ Pl Ine	P PLIIK pl in			
_P_ Sg Ela	P PLIIK sg el			
_P_ Pl Ela	P PLIIK pl el			
_P_ Sg All	P PLIIK sg all			
_P_ Pl All	P PLIIK pl all			
_P_ Sg Ade	P PLIIK sg ad			
_P_ Pl Ade	P PLIIK pl ad			
_P_ Sg Abl	P PLIIK sg abl			
_P_ Pl Abl	P PLIIK pl abl			
_P_ Sg Tra	P PLIIK sg tr			
_P_ Pl Tra	P PLIIK pl tr			
_P_ Sg Trm	P PLIIK sg term			
_P_ Pl Trm	P PLIIK pl term			
_P_ Sg Ess	P PLIIK sg es			
_P_ Pl Ess	P PLIIK pl es			
_P_ Sg Abe	P PLIIK sg abes			
_P_ Pl Abe	P PLIIK pl abes			
_P_ Sg Com	P PLIIK sg kom			
_P_ Pl Com	P PLIIK pl kom			

_Q_	Y		

_S_ ?	S com			

_S_ Sg Nom	S com sg nom			
_S_ Pl Nom	S com pl nom			
_S_ Sg Gen	S com sg gen			
_S_ Pl Gen	S com pl gen			
_S_ Sg Par	S com sg part			
_S_ Pl Par	S com pl part			
_S_ Sg Ill	S com sg ill			
_S_ Sg Ill Use/Hyp	S com sg ill			
_S_ Pl Ill	S com pl ill			
_S_ Sg Ine	S com sg in			
_S_ Pl Ine	S com pl in			
_S_ Sg Ela	S com sg el			
_S_ Pl Ela	S com pl el			
_S_ Sg All	S com sg all			
_S_ Pl All	S com pl all			
_S_ Sg Ade	S com sg ad			
_S_ Pl Ade	S com pl ad			
_S_ Sg Abl	S com sg abl			
_S_ Pl Abl	S com pl abl			
_S_ Sg Tra	S com sg tr			
_S_ Pl Tra	S com pl tr			
_S_ Sg Trm	S com sg term			
_S_ Pl Trm	S com pl term			
_S_ Sg Ess	S com sg es			
_S_ Pl Ess	S com pl es			
_S_ Sg Abe	S com sg abes			
_S_ Pl Abe	S com pl abes			
_S_ Sg Com	S com sg kom			
_S_ Pl Com	S com pl kom			

_Z_	Z Fst	l+.
_Z_	Z Com	l+,
_Z_	Z Scl	l+
_Z_	Z Col	l+:
_Z_	Z Int	l+?
_Z_	Z Exc	l+!
